playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,3xFxOjEv7eJHn92CA0heA3,故事还长,48,,7hcRBeXgHkJKfg7uGMr7ag,云汐,"['gufeng', 'c-pop', 'mandopop']",36,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,7gxeuhtll2tzWN4v70MnoK,千年泪,31,,1QLBXKM5GCpyQQSVMNZqrZ,阿YueYue,"['gufeng', 'c-pop', 'mandopop']",48,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,1vyxDdMHnOPzsUfXClgRnX,你不知道的事,43,,7z7tLLiBfmH0kZ2lNVs8LW,en,"['mandopop', 'gufeng', 'c-pop', 'chinese r&b']",60,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,5nBmfwzMckrmUDGfD2pbuI,天后,46,,7z7tLLiBfmH0kZ2lNVs8LW,en,"['mandopop', 'gufeng', 'c-pop', 'chinese r&b']",60,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,6PPqL3Oj5qzpTN8xG19W2z,非酋,0,,7j15ACuH4YxdpLiuBHvFAv,"薛明媛, 朱贺","['c-pop', 'mandopop', 'chinese r&b']",26,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,5kgraEfwPlN3omkH82PvqU,心动代价,3,,6B1LXmf3h2Gp9y17gnj1cC,Lancelot_兰斯洛,"['c-pop', 'mandopop']",35,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,2iR8dD6nve3qz0NN44R7AI,明天见,25,,7BigRJ5hTHHqFW6TbsR8xl,小蓝背心,"['c-pop', 'chinese r&b', 'mandopop']",44,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,27DRCxRWNRdDNOMcq0tVP0,计划里 - 怪我们星座不太相配,44,,3I722ECzzZT26Wc1iN66Kz,"王子明, WYAN王毓千","['chinese r&b', 'chinese hip hop', 'c-pop', 'mandopop']",42,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,55Cl1GJlpC5hm8YNGq0jfi,一愛難求 (電視劇《扶搖》片尾曲),41,,3dI4Io8XE33J2o04ZwjR0Y,LaLa Hsu,"['mandopop', 'taiwanese pop', 'c-pop', 'gufeng']",54,,,,,,,,,,,,,
https://open.spotify.com/playlist/1cuorQgfxeexzWxNSqGAJR?si=5sOKpdiwRaORMR1iDuFBvQ&pi=Joel15eNSBaFD&nd=1&dlsi=36b75a8f6ccb4c26,,0K0brfhJ8uAORU3VPzJ4jv,不值得你喜欢,44,,3I722ECzzZT26Wc1iN66Kz,"王子明, Copy, WYAN王毓千","['chinese r&b', 'chinese hip hop', 'c-pop', 'mandopop']",42,,,,,,,,,,,,,
